title,scoiety,price,area,when ready,link
"2 BHK Apartment for Sale in Roswalt Zaiden, Jogeshwari West Mumbai",none,Rs 2.13 Cr ,925 sqft,Dec '28,https://www.magicbricks.com/roswalt-zaiden-jogeshwari-west-mumbai-pdpid-4d4235333838323539
"3 BHK Apartment for Sale in Sugee Shraddha, Dadar Mumbai",none,Rs 3.54 Cr ,707 sqft,to Move,https://www.magicbricks.com/sugee-shraddha-dadar-mumbai-pdpid-4d4235343235333939
"3 BHK Apartment for Sale in Sahakar Revanta, Goregaon West Mumbai",none,Rs 3.06 Cr ,933 sqft,Sep '26,https://www.magicbricks.com/sahakar-revanta-goregaon-west-mumbai-pdpid-4d4235343131303239
"3 BHK Apartment for Sale in Rising Sun Midtown Bay, Mahim Mumbai",none,Rs 4.25 Cr ,820 sqft,Dec '27,https://www.magicbricks.com/rising-sun-midtown-bay-mahim-mumbai-pdpid-4d4235343131323637
"2 BHK Apartment for Sale in 7 Mahalaxmi, Lower Parel Mumbai",none,Rs 4.25 Cr ,850 sqft,Oct '31,https://www.magicbricks.com/7-mahalaxmi-lower-parel-mumbai-pdpid-4d4235343234313435
"3 BHK Apartment for Sale in Inspira Aura, Borivali West Mumbai",none,Rs 3.29 Cr ,1108 sqft,Mar '29,https://www.magicbricks.com/inspira-aura-borivali-west-mumbai-pdpid-4d4235343231363531
"3 BHK Apartment for Sale in MICL Aaradhya Avaan, Tardeo Mumbai",none,Rs 8.88 Cr ,1316 sqft,Dec '30,https://www.magicbricks.com/micl-aaradhya-avaan-tardeo-mumbai-pdpid-4d4235343137313533
"3 BHK Apartment for Sale in Godrej Reserve, Kandivali East Mumbai",none,Rs 4.30 Cr ,1457 sqft,Jun '30,https://www.magicbricks.com/godrej-reserve-kandivali-east-mumbai-pdpid-4d4235343139303931
"2 BHK Apartment for Sale in Jaydeep Mark, Mulund East Mumbai",none,Rs 1.73 Cr ,720 sqft,Dec '27,https://www.magicbricks.com/jaydeep-mark-mulund-east-mumbai-pdpid-4d4235343235343337
"3 BHK Apartment for Sale in The Wadhwa Atmosphere O2, Mulund West Mumbai",none,Rs 2.22 Cr ,794 sqft,Dec '26,https://www.magicbricks.com/the-wadhwa-atmosphere-o2-mulund-west-mumbai-pdpid-4d4235313237323433
"2 BHK Apartment for Sale in The Edge, Lal Baug Mumbai",none,Rs 4.36 Cr ,860 sqft,Dec '30,https://www.magicbricks.com/the-edge-lal-baug-mumbai-pdpid-4d4235343232373631
"3 BHK Apartment for Sale in Sunteck Sky Park, Mira Bhayandar Road Mumbai",none,Rs 1.90 Cr ,1051 sqft,Dec '27,https://www.magicbricks.com/sunteck-sky-park-mira-bhayandar-road-mumbai-pdpid-4d4235333938303139
"3 BHK Apartment for Sale in Lodha Adrina, Worli Mumbai",none,Rs 7.49 Cr ,1136 sqft,Dec '25,https://www.magicbricks.com/lodha-adrina-worli-mumbai-pdpid-4d4235343033313539
"3 BHK Apartment for Sale in Dotom Hilton, Borivali West Mumbai",none,Rs 2.69 Cr ,997 sqft,Aug '27,https://www.magicbricks.com/dotom-hilton-borivali-west-mumbai-pdpid-4d4235343139393831
"2 BHK Apartment for Sale in Lodha Woods, Kandivali East Mumbai",none,Rs 1.90 Cr ,659 sqft,Dec '25,https://www.magicbricks.com/lodha-woods-kandivali-east-mumbai-pdpid-4d4235333138353331
"3 BHK Apartment for Sale in Hubtown Seasons, Chembur Mumbai",none,Rs 3.31 Cr ,1018 sqft,Oct '25,https://www.magicbricks.com/hubtown-seasons-chembur-mumbai-pdpid-4d4235303236353336
"3 BHK Apartment for Sale in Radius 10 BKC, Bandra Kurla Complex Mumbai",none,Rs 7.27 Cr ,1204 sqft,New Property,https://www.magicbricks.com/radius-10-bkc-bandra-kurla-complex-mumbai-pdpid-4d4235303933383733
"2 BHK Apartment for Sale in Sheetal Sahyog, Malad East Mumbai",none,Rs 1.21 Cr ,600 sqft,Jun '27,https://www.magicbricks.com/sheetal-sahyog-malad-east-mumbai-pdpid-4d4235343139363133
"2 BHK Apartment for Sale in Runwal Avenue, Kanjurmarg East Mumbai",none,Rs 1.21 Cr ,454 sqft,Jun '27,https://www.magicbricks.com/runwal-avenue-kanjurmarg-east-mumbai-pdpid-4d4235323933343233
"3 BHK Apartment for Sale in Lodha Codename Evergreen, Vikhroli West Mumbai",none,Rs 3.70 Cr ,1161 sqft,Dec '27,https://www.magicbricks.com/lodha-codename-evergreen-vikhroli-west-mumbai-pdpid-4d4235333333373931
"3 BHK Apartment for Sale in Hiranandani Empress Hill, Powai Mumbai",none,Rs 5.08 Cr ,1200 sqft,Dec '28,https://www.magicbricks.com/hiranandani-empress-hill-powai-mumbai-pdpid-4d4235343137303631
"2 BHK Apartment for Sale in Dimple Westwood, Kandivali West Mumbai",none,Rs 1.59 Cr ,643 sqft,Dec '27,https://www.magicbricks.com/dimple-westwood-kandivali-west-mumbai-pdpid-4d4235333838343439
